,real_stock_price_high,predicted_price_high
0,1042.4599609375,1066.939941
1,1052.140625,1086.290039
2,1065.3514404296875,1093.569946
3,1071.9154052734375,1104.25
4,1079.7266845703125,1111.27002
5,1085.7799072265625,1110.569946
6,1087.08154296875,1104.599976
7,1084.6158447265625,1106.525024
8,1086.065673828125,1124.290039
9,1097.25390625,1139.910034
10,1108.5865478515625,1132.599976
11,1106.8702392578125,1132.51001
12,1107.590087890625,1137.859985
13,1111.701171875,1159.880005
14,1125.61279296875,1171.626953
15,1134.9813232421875,1179.859985
16,1141.986083984375,1175.939941
17,1142.09228515625,1175.839966
18,1143.339599609375,1186.890015
19,1150.73388671875,1176.52002
20,1146.8743896484375,1173.0
21,1145.2481689453125,1174.0
22,1146.3037109375,1123.069946
23,1118.853515625,1110.0
24,1106.8392333984375,1081.709961
25,1088.405029296875,1081.780029
26,1083.8619384765625,1058.619995
27,1068.513916015625,1043.969971
28,1055.6405029296875,1061.5
29,1062.08251953125,1058.369995
30,1059.892822265625,1071.719971
31,1065.873779296875,1091.4790039999998
32,1077.4952392578125,1104.670044
33,1086.304931640625,1113.949951
34,1092.7242431640625,1133.969971
35,1105.416259765625,1122.819946
36,1101.221923828125,1127.280029
37,1103.677001953125,1143.959961
38,1114.2669677734375,1144.040039
39,1116.3896484375,1127.530029
40,1108.04736328125,1110.119995
41,1097.5400390625,1081.999023
42,1080.0638427734375,1097.099976
43,1085.50439453125,1101.849976
44,1088.8033447265625,1112.219971
45,1094.8638916015625,1127.599976
46,1104.6224365234375,1160.800049
47,1125.37646484375,1177.050049
48,1137.9110107421875,1176.76001
49,1140.443359375,1158.589966
50,1132.0054931640625,1161.079956
51,1133.2735595703125,1155.880005
52,1131.213134765625,1121.98999
53,1112.36962890625,1105.199951
54,1099.92529296875,1106.300049
55,1098.245361328125,1082.900024
56,1083.960205078125,1063.359985
57,1069.3172607421875,1055.630005
58,1061.226806640625,1064.838989
59,1063.976806640625,1024.22998
60,1039.5247802734375,1043.0
61,1044.382080078125,1034.800049
62,1039.3673095703125,1020.98999
63,1028.6995849609375,1028.718018
64,1030.0325927734375,1042.790039
65,1037.682373046875,1031.420044
66,1031.166259765625,1039.599976
67,1033.9735107421875,1036.280029
68,1031.93359375,1031.364014
69,1027.98046875,1040.689941
70,1032.382568359375,1046.420044
71,1036.265869140625,1043.23999
72,1034.7294921875,1077.880005
73,1055.236572265625,1077.430054
74,1058.4508056640625,1094.165039
75,1069.234619140625,1092.349976
76,1070.5941162109375,1082.719971
77,1065.8782958984375,1057.0
78,1050.669677734375,1032.48999
79,1033.7752685546875,1047.97998
80,1039.8074951171875,1049.5
81,1041.6558837890625,1037.0
82,1034.1295166015625,1038.469971
83,1033.37451171875,1040.389038
84,1034.20654296875,1029.675049
85,1027.5604248046875,1048.51001
86,1037.2725830078125,1061.680054
87,1046.687744140625,1060.550049
88,1047.404541015625,1085.439941
89,1062.5201416015625,1100.439941
90,1074.23779296875,1101.329956
91,1077.1221923828125,1110.75
92,1083.9661865234375,1090.050049
93,1073.9405517578125,1089.27002
94,1072.5374755859375,1086.869995
95,1071.5352783203125,1069.939941
96,1061.7818603515625,1088.0
97,1070.890869140625,1086.589966
98,1071.7933349609375,1080.780029
99,1068.6026611328125,1080.469971
100,1068.0823974609375,1082.560059
101,1069.3453369140625,1073.369995
102,1064.161376953125,1069.209961
103,1060.7474365234375,1097.189941
104,1076.6424560546875,1120.0
105,1092.5377197265625,1141.890015
106,1107.9154052734375,1145.7380369999998
107,1113.1934814453125,1143.0
108,1113.61328125,1135.819946
109,1110.77490234375,1126.670044
110,1106.0426025390625,1137.26001
111,1112.003173828125,1139.790039
112,1114.8516845703125,1146.5
113,1119.61572265625,1155.469971
114,1126.087646484375,1153.420044
115,1126.574462890625,1174.310059
116,1139.2041015625,1171.27002
117,1139.9971923828125,1186.286011
118,1149.3875732421875,1177.295044
119,1146.63232421875,1162.496948
120,1138.949951171875,1143.910034
121,1128.162109375,1133.209961
122,1120.6690673828125,1131.8360599999999
123,1118.4769287109375,1122.310059
124,1112.326904296875,1128.227051
